site_id,PM25,n_observed_days,longitude,latitude,PPTN,Tmin,Tmax,WS,RH,TCDC,sample_status
13-245-0005,10.022727272727273,11,-81.991426,33.469164,68.9477781507704,1.6758887542618646,14.779221958584255,3.1515836238861086,74.5252050611708,40.399999152289496,public_source_reconstruction_pending_author_sample_comparison
13-245-0091,10.441666666666666,12,-82.0224,33.4339,81.59166556464301,1.4164442751142714,14.702888054317897,3.15182007683648,74.5252050611708,40.399999152289496,public_source_reconstruction_pending_author_sample_comparison
13-295-0002,10.173333333333334,15,-85.3009,34.9788,118.86667319403755,-0.6082220488124424,11.39866764280531,3.2812864700953166,78.36357133653429,43.68749970330133,public_source_reconstruction_pending_author_sample_comparison
13-303-0001,7.583333333333333,12,-82.806871,32.967359,82.12944713168675,1.6998889141612583,14.990109231736925,2.993967048327128,75.36652357313368,40.1625,public_source_reconstruction_pending_author_sample_comparison
13-319-0001,9.76,15,-83.333775,32.881829,84.45221854315864,2.07322239279747,15.761777125464546,2.9315231985516017,76.67988866170248,39.89861060248481,public_source_reconstruction_pending_author_sample_comparison
16-005-0020,10.023846153846153,65,-112.455813,42.978248,17.60777898894416,-10.454110887315538,0.7151110821300083,2.6271167357762653,79.92355456882053,45.2250006781684,public_source_reconstruction_pending_author_sample_comparison
16-041-0001,16.00574712643678,87,-111.809167,42.013333,23.75722256236606,-8.968111642201741,0.25533334116141,2.6111756801605224,77.48570743136936,46.63611072964139,public_source_reconstruction_pending_author_sample_comparison
16-059-0004,24.279999999999998,90,-113.890285,45.181897,14.131388727823893,-12.246444055769178,-2.261555728647444,2.5091155343585543,82.89603814019097,60.48888876173231,public_source_reconstruction_pending_author_sample_comparison
16-079-0017,21.06551724137931,87,-116.236667,47.536389,136.70415768093534,-6.179777145385742,0.8163333323266772,3.1075767040252686,84.41331015692816,61.14583494398329,public_source_reconstruction_pending_author_sample_comparison
17-163-9010,10.989583333333334,16,-90.160477,38.612034,68.02388814290364,-3.719333583778805,6.247333232561747,3.6552356084187827,80.41270421346029,50.41805513170031,public_source_reconstruction_pending_author_sample_comparison
18-003-0004,15.141975308641975,81,-85.101816,41.094965,71.93361167907715,-6.908890056610107,1.3070000012715657,3.685685459772746,86.50167863633898,58.32916611565484,public_source_reconstruction_pending_author_sample_comparison
18-019-0006,13.356338028169013,71,-85.740111,38.277719,105.47361200120714,-2.6538886081841255,7.3196670373280845,3.4358323335647585,82.02459504869249,54.297222730848524,public_source_reconstruction_pending_author_sample_comparison
18-019-0008,11.479310344827585,29,-85.664118,38.393822,102.63527361551921,-3.082666446765264,6.5543333265516495,3.4339944389131336,82.02459504869249,54.297222730848524,public_source_reconstruction_pending_author_sample_comparison
18-035-0006,12.803571428571429,28,-85.387819,40.203338,99.42027668423123,-6.215333048502604,2.2971112370491027,3.5639620701471966,86.09213129679362,57.50138799879286,public_source_reconstruction_pending_author_sample_comparison
18-037-2001,16.188,25,-86.929668,38.391799,111.8258292304145,-4.140778132279714,6.119222508536445,3.4646830532285904,80.95671496921115,54.89166704813639,public_source_reconstruction_pending_author_sample_comparison
18-039-0008,14.7,90,-85.968446,41.657155,61.67027782864041,-6.7018886751598785,1.1154445542229547,3.644935663541158,87.42337909274632,57.84027854071723,public_source_reconstruction_pending_author_sample_comparison
18-043-1004,13.643217054263566,86,-85.832974,38.30703,105.1450067308214,-3.095888512995508,7.054444336891175,3.434112485249837,82.02459504869249,54.297222730848524,public_source_reconstruction_pending_author_sample_comparison
18-051-0012,11.92222222222222,27,-87.318789,38.322931,98.86971990797255,-3.4164443251159455,6.27466701666514,3.5023497237099543,82.21877890692816,55.838889058430986,public_source_reconstruction_pending_author_sample_comparison
18-065-0003,12.1,27,-85.52347,40.009544,111.16750200059678,-5.79699985716078,2.4008890761269464,3.5346801572375828,84.83570777045355,55.4222230275472,public_source_reconstruction_pending_author_sample_comparison
18-067-0003,13.696153846153846,26,-86.132879,40.485479,85.63916346232097,-6.884777058495415,1.559333340326945,3.5594103548261855,85.5909155951606,55.84999970330132,public_source_reconstruction_pending_author_sample_comparison
18-083-0004,12.507142857142856,28,-87.484733,38.740882,81.93444413079156,-4.338222167889277,5.66977826224433,3.511438775062561,82.17268490261502,55.537501356336804,public_source_reconstruction_pending_author_sample_comparison
