"dataset","network","task","generator","z_rmse","generator_z_only_hit_rate","generator_mean_nmse"
"georgia",12,"geographic_transfer","polynomial",1.18982586552331,0.782275132275132,0.119555357121607
"meuse",12,"geographic_transfer","polynomial",1.38414348513181,0.774509803921569,0.23605774352971
"georgia",13,"geographic_transfer","polynomial",1.24542971178836,0.782275132275132,0.137624258476179
"meuse",13,"geographic_transfer","polynomial",1.49808810420824,0.803921568627451,0.277011549800329
"georgia",14,"geographic_transfer","polynomial",1.16398381286521,0.857936507936508,0.111992928125293
"meuse",14,"geographic_transfer","polynomial",1.52670077006109,0.735294117647059,0.280760829035442
"georgia",15,"geographic_transfer","polynomial",1.12277934624696,0.886772486772487,0.105160165402068
"meuse",15,"geographic_transfer","polynomial",1.30512474319476,0.813725490196078,0.224786097450921
"georgia",16,"geographic_transfer","polynomial",1.1991994313296,0.791269841269841,0.123426167387155
"meuse",16,"geographic_transfer","polynomial",1.47032400734796,0.784313725490196,0.232832608405
"georgia",17,"geographic_transfer","polynomial",1.1501278133516,0.858465608465608,0.116153332606933
"meuse",17,"geographic_transfer","polynomial",1.47032400734796,0.754901960784314,0.228237046052055
"georgia",18,"geographic_transfer","polynomial",1.13226664167386,0.848412698412698,0.118587905056121
"meuse",18,"geographic_transfer","polynomial",1.39265053494779,0.813725490196078,0.260095152350633
"georgia",19,"geographic_transfer","polynomial",1.12673994737754,0.857671957671958,0.111715291914758
"meuse",19,"geographic_transfer","polynomial",1.24189497599017,0.813725490196078,0.211656927627459
"georgia",20,"geographic_transfer","polynomial",1.18982586552331,0.810846560846561,0.118333147604824
"meuse",20,"geographic_transfer","polynomial",1.34463923910604,0.823529411764706,0.206047170657517
"georgia",1,"known_network","polynomial",0.795756503552067,0.953174603174603,0.0592533506983157
"meuse",1,"known_network","polynomial",0.745331803284769,0.941176470588235,0.0675150989029514
"georgia",2,"known_network","polynomial",0.889893185776393,0.905555555555556,0.0649881594196452
"meuse",2,"known_network","polynomial",0.743536029072432,0.96078431372549,0.0672718268701008
"georgia",3,"known_network","polynomial",0.667537068739657,0.962433862433862,0.0403332936487241
"meuse",3,"known_network","polynomial",0.771240694545102,0.941176470588235,0.062760757416449
"georgia",4,"known_network","polynomial",0.688196677532786,0.934126984126984,0.041792571502782
"meuse",4,"known_network","polynomial",0.792885664927591,0.911764705882353,0.0724049817741143
"georgia",5,"known_network","polynomial",0.667537068739657,0.981216931216931,0.041369359223299
"meuse",5,"known_network","polynomial",0.770708043894705,0.882352941176471,0.0729099771358452
"georgia",6,"known_network","polynomial",0.811871234940574,0.905555555555556,0.0611561477275503
"meuse",6,"known_network","polynomial",0.74526948583316,0.92156862745098,0.0712181506388644
"georgia",7,"known_network","polynomial",0.751293941591957,0.962433862433862,0.0526367179982104
"meuse",7,"known_network","polynomial",0.727459155053801,0.96078431372549,0.0651021059453082
"georgia",8,"known_network","polynomial",0.821399480993681,0.933862433862434,0.0571434099068997
"meuse",8,"known_network","polynomial",0.771240694545102,0.931372549019608,0.0713989812877893
"georgia",9,"known_network","polynomial",0.817518135894001,0.934126984126984,0.0580240977779677
"meuse",9,"known_network","polynomial",0.709473773504487,0.931372549019608,0.0661412249733337
"georgia",10,"known_network","polynomial",0.702636842935117,0.924603174603175,0.0447174660836478
"meuse",10,"known_network","polynomial",0.770708043894705,0.92156862745098,0.0649558305196526
"georgia",11,"known_network","polynomial",0.822695434637037,0.952910052910053,0.0577653193819495
