"dataset","generator","task","fold","method","draws","failed","nmse_mean","coverage_90pct","mean_width_90pct","error"
"meuse","forest","known_network",2,"gam_spatial",30,FALSE,0.309984198352625,0.352941176470588,0.319049803891015,""
"meuse","forest","known_network",2,"forest",30,FALSE,0.14514503201612,0.470588235294118,0.331976033335941,""
"meuse","forest","known_network",3,"linear",30,FALSE,0.099783280364183,0.558823529411765,0.288391884961107,""
"meuse","forest","known_network",3,"polynomial",30,FALSE,0.156655345503497,0.441176470588235,0.287678581608998,""
"meuse","forest","known_network",3,"gam_covariates",30,FALSE,0.0869903352554859,0.588235294117647,0.317323954768145,""
"meuse","forest","known_network",3,"gam_spatial",30,FALSE,0.108234956929802,0.588235294117647,0.330192732809587,""
"meuse","forest","known_network",3,"forest",30,FALSE,0.143012633345542,0.5,0.307759074352353,""
"meuse","forest","geographic_transfer",1,"linear",30,FALSE,0.259386265252966,0.617647058823529,0.739795674041774,""
"meuse","forest","geographic_transfer",1,"polynomial",30,FALSE,0.227548023951977,0.647058823529412,0.697430977112441,""
"meuse","forest","geographic_transfer",1,"gam_covariates",30,FALSE,0.217879748535822,0.558823529411765,0.623906345552672,""
"meuse","forest","geographic_transfer",1,"gam_spatial",30,FALSE,0.219950581356073,0.558823529411765,0.622396097270548,""
"meuse","forest","geographic_transfer",1,"forest",30,FALSE,0.164667464263678,0.617647058823529,0.392390657838882,""
"meuse","forest","geographic_transfer",2,"linear",30,FALSE,0.28844215488242,0.441176470588235,0.358306632781609,""
"meuse","forest","geographic_transfer",2,"polynomial",30,FALSE,0.283818725349737,0.441176470588235,0.352286123942952,""
"meuse","forest","geographic_transfer",2,"gam_covariates",30,FALSE,0.403798077490181,0.382352941176471,0.371798417109062,""
"meuse","forest","geographic_transfer",2,"gam_spatial",30,FALSE,0.403328680980963,0.382352941176471,0.378501280432165,""
"meuse","forest","geographic_transfer",2,"forest",30,FALSE,0.260831590593996,0.441176470588235,0.418202797262071,""
"meuse","forest","geographic_transfer",3,"linear",30,FALSE,0.142623867211148,0.882352941176471,0.755903457770518,""
"meuse","forest","geographic_transfer",3,"polynomial",30,FALSE,0.198709570679403,0.705882352941177,0.700174255722332,""
"meuse","forest","geographic_transfer",3,"gam_covariates",30,FALSE,0.1154240432312,0.823529411764706,0.673099885021209,""
"meuse","forest","geographic_transfer",3,"gam_spatial",30,FALSE,0.117568159592512,0.852941176470588,0.656259671657325,""
"meuse","forest","geographic_transfer",3,"forest",30,FALSE,0.133983100845325,0.705882352941177,0.449935166583762,""
