"dataset","cv_scheme","estimator","n","response","rmse","mae","rmse_sd","mae_sd","duration_sec","aicc","logLik","spatial_param","spatial_value","moran_i","moran_abs","moran_p_value","moran_error","n_resamples","n_failed_resamples","fit_error"
"london_hp","near_prediction","sar_lag",90,"PURCHASE",45434.0767594581,32342.9319092564,15758.3390234107,9552.81625864495,4.62,7648.53581792394,-3818.13198663187,"rho",0.236060837936229,-0.0260978211644433,0.0683703407757195,0.261827009331193,NA,10,0,NA
"london_hp","near_prediction","sem_error",90,"PURCHASE",44674.189667629,30549.6101326768,15977.2156497661,9169.8441870032,4.64,7634.54015783618,-3811.13415658799,"lambda",0.409815595098421,-0.0114306816311054,0.0694024491539789,0.231590500290105,NA,10,0,NA
"london_hp","near_prediction","sdm_mixed",90,"PURCHASE",46070.3737921012,32449.1901484252,14406.4027790836,8632.36268204712,4.24,7601.0538123042,-3791.23278850504,"rho",0.569598228143974,-0.125,0.125,0.333333333333333,NA,10,0,NA
"london_hp","near_prediction","mgwrsar_gwr",90,"PURCHASE",36585.2270265582,26635.2760076141,11705.7066568298,7884.41370863688,0.550000000000001,NA,NA,NA,NA,-0.125,0.125,0,NA,10,0,NA
"london_hp","near_prediction","spboost_bspa_sar_ml",90,"PURCHASE",40097.0536101197,26855.4704765976,16571.7074445294,9161.88808581397,2.48999999999999,1036850040751.47,-518425020314.69,"rho",0.384201871820973,-0.125,0.125,0.666666666666667,NA,10,0,NA
"london_hp","near_prediction","spboost_bspa_sem_ml",90,"PURCHASE",43230.1892577891,30028.1703161326,15636.0167516103,8831.62170071035,3.33000000000001,985971707158.529,-492985853518.219,"lambda",0.420931831265309,-0.052993750354377,0.0610867573093471,0.297592504486479,NA,10,0,NA
"london_hp","near_prediction","random_forest",90,"PURCHASE",41694.3776120755,29951.412480412,13655.2865053168,8127.64647691262,0.290000000000006,NA,NA,NA,NA,-0.125,0.125,1,NA,10,0,NA
"london_hp","near_prediction","xgboost",90,"PURCHASE",42472.5710702084,30573.3786892361,10294.0885664554,6044.45884049568,0.609999999999985,NA,NA,NA,NA,-0.125,0.125,0.25,NA,10,0,NA
"dub_voter","near_prediction","ols",80,"GenEl2004",5.18244911583699,4.00930798698361,1.28832600158998,1.01863402068313,0.57,1999.85755490435,-989.57507970298,NA,NA,-0.142857142857143,0.142857142857143,0.437499999474558,NA,10,0,NA
"dub_voter","near_prediction","gam_spatial",80,"GenEl2004",4.92317779166558,3.89129499360345,1.07703657964087,0.691938199100397,0.67,1967.26577867218,-952.613550940823,NA,NA,-0.142857142857143,0.142857142857143,0.50000000070059,NA,10,0,NA
"dub_voter","near_prediction","sar_lag",80,"GenEl2004",5.64300369356242,4.42662846202269,1.66420958030302,1.4003388052154,5.48,2000.1164358437,-988.632411470237,"rho",0.105100858729689,-0.142857142857143,0.142857142857143,0.57142857022756,NA,10,0,NA
"dub_voter","near_prediction","sem_error",80,"GenEl2004",5.13441435557006,3.96077915120258,1.4062698029472,1.11491778152939,5.16,1985.69097461123,-981.419680854001,"lambda",0.454466664202765,-0.142857142857143,0.142857142857143,0.499999999399494,NA,10,0,NA
"dub_voter","near_prediction","sdm_mixed",80,"GenEl2004",5.49042573800615,4.4675777913037,1.29165835596465,1.09956308666859,4.98,1978.67627319641,-969.079858452512,"rho",0.276826293150586,-0.158144299597306,0.158144299597306,0.550302231528085,NA,10,0,NA
"dub_voter","near_prediction","mgwrsar_gwr",80,"GenEl2004",4.64190700317225,3.57868349565629,1.05950448315439,0.783151884979476,0.710000000000001,NA,NA,NA,NA,-0.142857142857143,0.142857142857143,0.400000000840708,NA,10,0,NA
"dub_voter","near_prediction","spboost_bspa_sar_ml",80,"GenEl2004",4.80506582928477,3.70571815121276,1.68076604051212,1.39885334514957,7.35000000000001,15632.1082588191,-7458.04097151481,"rho",0.202120620327799,-0.152373736863492,0.152373736863492,0.535202914124206,NA,10,0,NA
"dub_voter","near_prediction","spboost_bspa_sem_ml",80,"GenEl2004",4.9917906932157,3.8088786971222,1.68838833715264,1.39133463373199,7.62,15536.4955179184,-7410.23460106447,"lambda",0.244709153609088,-0.149784499578267,0.149784499578267,0.531053018095878,NA,10,0,NA
"dub_voter","near_prediction","random_forest",80,"GenEl2004",5.11537333461798,3.8692146600375,1.60144897281398,1.37750881446251,0.430000000000014,NA,NA,NA,NA,-0.142857142857143,0.142857142857143,0.333333333333333,NA,10,0,NA
"dub_voter","near_prediction","xgboost",80,"GenEl2004",5.12602802778888,3.92181923204041,1.36829694403134,1.23771682746561,1.13999999999999,NA,NA,NA,NA,-0.142857142857143,0.142857142857143,0.357142857853558,NA,10,0,NA
"boston_housing","near_prediction","ols",100,"CMEDV",5.65781897354465,3.56619312170689,1.69996357524051,0.799991876854309,0.550000000000001,3019.47040826683,-1494.24540821505,NA,NA,-0.113529635822976,0.113529635822976,0.538122106941809,NA,10,0,NA
"boston_housing","near_prediction","gam_spatial",100,"CMEDV",5.56535323415851,3.7359461139164,1.4633330773387,0.768083641234921,0.520000000000003,2969.20637858091,-1445.90707624318,NA,NA,-0.113242846042322,0.113242846042322,0.545395306788131,NA,10,0,NA
"boston_housing","near_prediction","sar_lag",100,"CMEDV",6.4711227066295,4.48121120530112,1.54849956355685,1.03291841163777,9.51,2968.63153865134,-1467.75953210686,"rho",0.367967222148606,-0.111111111111111,0.111111111111111,0.500000000186093,NA,10,0,NA
"boston_housing","near_prediction","sem_error",100,"CMEDV",6.05876756995965,3.78988868606035,1.82136214987896,0.765317099747592,8.41,2903.86506711663,-1435.3762963395,"lambda",0.76828749500367,-0.111111111111111,0.111111111111111,0.499999999723498,NA,10,0,NA
"boston_housing","near_prediction","sdm_mixed",100,"CMEDV",7.03534617268285,5.11419717326177,1.96332836179813,1.7531448986506,8.76000000000001,2828.57790085223,-1383.46121933368,"rho",0.633820289651171,-0.160716183824166,0.164899445320369,0.677210981461248,NA,10,0,NA
"boston_housing","near_prediction","mgwrsar_gwr",100,"CMEDV",3.83019165393791,2.73088344786326,1.03317855990102,0.553098596063289,1.95,NA,NA,NA,NA,-0.116603237802842,0.116603237802842,0.575852165122914,NA,10,0,NA
"boston_housing","near_prediction","spboost_bspa_sar_ml",100,"CMEDV",4.58049791855617,2.70143296586304,2.26876628333289,0.929400624148143,14.26,12113.4086332708,-5489.0488544505,"rho",0.428585092817747,-0.173494158026105,0.173494158026105,0.683097021949061,NA,10,0,NA
