"contrast","dataset","generator","context","method","repetitions","difference","mcse"
"noisy_minus_exact","meuse","forest","geographic_transfer","forest",160,-0.00799095383878998,0.00238196956275129
"noisy_minus_exact","georgia","polynomial","geographic_transfer","forest",160,0.0036607444660775,0.00112734121563917
"noisy_minus_exact","meuse","polynomial","geographic_transfer","forest",160,-0.0078233622812791,0.00290427606365506
"noisy_minus_exact","georgia","forest","known_network","forest",160,0.00398794274235303,0.00114780640601824
"noisy_minus_exact","meuse","forest","known_network","forest",160,0.00510336109029326,0.00165792126476099
"noisy_minus_exact","georgia","polynomial","known_network","forest",160,0.000291980190588342,0.00100969330399623
"noisy_minus_exact","meuse","polynomial","known_network","forest",160,0.00668787751932196,0.00177188282730668
"noisy_minus_exact","georgia","forest","geographic_transfer","gam_covariates",160,-0.000177453215348374,0.00111253633649087
"noisy_minus_exact","meuse","forest","geographic_transfer","gam_covariates",160,-0.00833296493587794,0.00198957206329217
"noisy_minus_exact","georgia","polynomial","geographic_transfer","gam_covariates",160,-0.000365232262070223,0.000649803013652284
"noisy_minus_exact","meuse","polynomial","geographic_transfer","gam_covariates",160,-0.00766425176264578,0.00177963529351578
"noisy_minus_exact","georgia","forest","known_network","gam_covariates",160,0.00184896243474934,0.0012298136701847
"noisy_minus_exact","meuse","forest","known_network","gam_covariates",160,0.00745729022281327,0.00358101739915045
"noisy_minus_exact","georgia","polynomial","known_network","gam_covariates",160,0.00315992149832278,0.000876424489071187
"noisy_minus_exact","meuse","polynomial","known_network","gam_covariates",160,0.006368396094772,0.00325855779361617
"noisy_minus_exact","georgia","forest","geographic_transfer","gam_spatial",160,0.00399264888289831,0.00183159887348338
"noisy_minus_exact","meuse","forest","geographic_transfer","gam_spatial",160,-0.00868394803457176,0.0026724847406498
"noisy_minus_exact","georgia","polynomial","geographic_transfer","gam_spatial",160,-0.00175898212171505,0.0014016810615022
"noisy_minus_exact","meuse","polynomial","geographic_transfer","gam_spatial",160,-0.00648612043930645,0.00254353283405672
"noisy_minus_exact","georgia","forest","known_network","gam_spatial",160,0.00661154482099301,0.00218959166415144
"noisy_minus_exact","meuse","forest","known_network","gam_spatial",160,0.00375354513522644,0.00467593502082949
"noisy_minus_exact","georgia","polynomial","known_network","gam_spatial",160,0.00334034079541627,0.00103688723391062
"noisy_minus_exact","meuse","polynomial","known_network","gam_spatial",160,0.000147539544304973,0.00344498099392495
"noisy_minus_exact","georgia","forest","geographic_transfer","linear",160,-0.000270561384103399,0.000471835071216409
"noisy_minus_exact","meuse","forest","geographic_transfer","linear",160,-0.0113651864091032,0.00143531089805951
"noisy_minus_exact","georgia","polynomial","geographic_transfer","linear",160,-0.0018028416514618,0.000552873887019359
"noisy_minus_exact","meuse","polynomial","geographic_transfer","linear",160,-0.0100274829522788,0.00123127399890133
"noisy_minus_exact","georgia","forest","known_network","linear",160,0.00152498128512205,0.000665865958666766
"noisy_minus_exact","meuse","forest","known_network","linear",160,0.00854818770278669,0.0013268060844418
"noisy_minus_exact","georgia","polynomial","known_network","linear",160,0.00132893961947788,0.00115618250353484
"noisy_minus_exact","meuse","polynomial","known_network","linear",160,0.0151979941330571,0.00239443468117169
"noisy_minus_exact","georgia","forest","geographic_transfer","polynomial",160,-0.000461371033950793,0.000778382107345466
"noisy_minus_exact","meuse","forest","geographic_transfer","polynomial",160,-0.00589230945761183,0.00178823089247072
"noisy_minus_exact","georgia","polynomial","geographic_transfer","polynomial",160,-9.27480654432777e-06,0.000426191133101483
"noisy_minus_exact","meuse","polynomial","geographic_transfer","polynomial",160,-0.0079355691056432,0.00133783953218507
"noisy_minus_exact","georgia","forest","known_network","polynomial",160,0.00053099716025704,0.000880499096833786
"noisy_minus_exact","meuse","forest","known_network","polynomial",160,0.010407876403758,0.00178357490156741
"noisy_minus_exact","georgia","polynomial","known_network","polynomial",160,0.00307656150225447,0.000463090700565345
"noisy_minus_exact","meuse","polynomial","known_network","polynomial",160,0.00732531728229179,0.00215976066297702
